업체명,공장사업장주소,위도,경도
천일산업(주),전라남도 영암군 삼호읍 용앙로 492 ,34.75739,126.418389
대성아스콘(주),전라남도 장흥군 장동면 흥성로 1442 ,34.742395,126.990367
(주)대산아레콘,전라남도 영암군 삼호읍 나불로 373 ,34.758501,126.42225
도진아스콘(주),전라남도 장성군 황룡면 강변로 404 ,35.280389,126.764577
(유)도로산업,전라남도 영광군 군서면 백수로 17길 9-1,35.28197,126.478158
(주)쌍우아스콘,전라남도 함평군 함평읍 함영로 1685-46 ,35.113212,126.488186
한남유화(주),전라남도 보성군 득량면 도촌길 160-23 ,34.735341,127.146992
한중맥스팔트(주),전라남도 영암군 삼호읍 나불로3길 56 ,34.757335,126.420666
(주)신아에이치에스,전라남도 화순군 춘양면 가봉리 산40 ,34.935289,126.948175
서남아스콘(주),전라남도 장흥군 장흥읍 장흥대로 3046-130 ,34.649182,126.896153
(주)케이에스 영암지점,전라남도 영암군 삼호읍 나불로3길 8 ,34.758334,126.421055
(주)성암아스콘,전라남도 장성군 동화면 본동로 1033-23 ,35.233255,126.70786
(주)혜성 영광지점,전라남도 영광군 묘량면 밀재로 831-61 ,35.202924,126.576788
(주)도원,전라남도 함평군 해보면 해보월현길 114-66 ,35.170039,126.568456
대양아스콘(주),전라남도 여수시 여수산단로 569 (중흥동) ,34.829999,127.68375
청호개발(주),전라남도 영암군 삼호읍 나불로3길 39 ,34.756279,126.420777
한국아레콘(주),전라남도 영암군 삼호읍 용앙로 466 ,34.755363,126.419528
남부산업(주),전라남도 해남군 마산면 명량로 2799 ,34.587382,126.560405
(주)호남아스콘산업,전라남도 무안군 현경면 현해로 652-30 ,35.057384,126.370474
청해개발(주),전라남도 완도군 완도읍 청해진서로 1037-244 ,34.319468,126.674425
지본산업(주),전라남도 영암군 학산면 녹색로 2632 ,34.69962,126.630676
(주)바나,전라남도 여수시 여수산단로 203  ,34.802586,127.663502
장성아스콘(주),전라남도 장성군 북하면 단풍로 1048-90 ,35.363546,126.867901
(주)토당,전라남도 순천시 별량면 마산길 37 ,34.856301,127.445437
대신기업(주),전라남도 진도군 진도읍 쉬미항로 322-129 ,34.48542,126.216353
(주)한중토건,전라남도 무안군 청계면 청운로 233-1 ,34.936926,126.411138
(주)대도건설,전라남도 순천시 별량면 금치길 126 ,34.847052,127.383415
제석아스콘(주),전라남도 보성군 벌교읍 남하로 161 ,34.829442,127.358445
금성산업(주),전라남도 장성군 동화면 구봉길 20972 ,35.234588,126.712304
㈜에이알,전북특별자치도 장수군 장계면 육십령로 735-33 ,35.729343,127.64894
(주)반석레미콘 아스콘지점,전북특별자치도 진안군 용담면 안용로 1196 ,35.980536,127.516255
OK아스콘(유),전북특별자치도 진안군 진안읍 반월리 1175 ,35.766088,127.437181
(주)승일아스콘,전북특별자치도 익산시 왕궁면 무왕로 125492 ,35.919734,126.912809
(유)익산아스콘,전북특별자치도 익산시 낭산면 석천리 516-4 ,36.062996,127.043602
(유)서부아스콘,전북특별자치도 익산시 왕궁면 제석사지로 359 ,35.966118,127.082321
(주)덕산,전북특별자치도 익산시 함열읍 미륵사지로 1156 ,36.062162,126.976663
(유)동성아스콘,전북특별자치도 정읍시 소성면 소성로 404-44 ,35.567495,126.80396
현대아스콘(주),제주특별자치도 서귀포시 안덕면 화순서동로 282 ,33.275943,126.334683
한송아스콘,제주특별자치도 서귀포시 안덕면 서광동로 34번길 30103,33.290247,126.332738
삼부아스콘(주),제주특별자치도 제주시 구좌읍 북촌12길 176 ,33.536249,126.707566
(주)낙원산업,제주특별자치도 서귀포시 표선면 세성로 114-26 ,33.318162,126.803948
이도에코한림(주),제주특별자치도 제주시 한림읍 명월남길 73 ,33.36821,126.279493
영진기업(주),제주특별자치도 제주시 조천읍 대와상길 18050 ,33.496837,126.651182
행진산업,제주특별자치도 서귀포시 안덕면 화순리 46040 ,33.256889,126.330017
(주)서일아스콘,제주특별자치도 서귀포시 표선면 돈오름로 130-52 ,33.328939,126.809364
이도에코제주(주),제주특별자치도 제주시 한림읍 명월남길 53 ,33.368377,126.279854
(주)신흥산업,제주특별자치도 제주시 애월읍 중산간서로 1459877 ,33.287136,126.225081
해동아스콘(주),제주특별자치도 서귀포시 안덕면 화순서동로56번길 89 ,33.262861,126.339905
(주)유림테크,충청남도 논산시 부적면 감곡1길 70 ,36.211313,127.170867
석문산업(주),충청남도 당진시 석문면 산단7로4길 67 ,37.010913,126.559942
(주)천성산업개발,충청남도 금산군 진산면 실학로 461 ,36.199843,127.3581
공주의당아스콘(주),충청남도 공주시 의당면 의당전의로 803-35 ,36.545581,127.183335
서전산업(주),충청남도 서산시 팔봉면 서해로 269064 ,36.770328,126.350046
(주) 세창이엔텍,충청남도 천안시 동남구 광덕면 차령고개로 682-11,36.666317,127.14456
(주)선우,충청남도 서산시 해미면 한티1길 75 ,36.681284,126.591748
한서아스콘(주),충청남도 서산시 음암면 장나다리길 48 ,36.749193,126.509171
은진산업(주),충청남도 논산시 은진면 버들길 124 ,36.154431,127.13151
(주)대원인프라,충청남도 논산시 부적면 감곡1길 72 ,36.211091,127.171283
(주)우신아스콘,충청남도 홍성군 구항면 충서로966번길 41-29 ,36.564965,126.652521
(주)대왕,충청남도 아산시 염치읍 아산로 645-50 ,36.826075,126.967852
(주)한솔산업,충청남도 아산시 신창면 학성로 89 ,36.784469,126.916357
한라엔컴(주) 송악사업소,충청남도 당진군 송악면 고대공단2길 385 ,36.97178,126.776284
당진기업(주),충청남도 당진시 고대면 고대로 158 ,36.931144,126.59494
정안레미콘아스콘(주),충청남도 천안시 동남구 광덕면 대평교길 48,36.673288,127.15392
남양아스콘(주),충청남도 공주시 계룡면 왕촌길 473-22 ,36.416151,127.176781
제일아스콘(주),충청남도 청양군 비봉면 록평용당로 575-19 ,36.507611,126.7679
광덕아스콘(주),충청남도 천안시 동남구 광덕면 차령로 4248외 1필지,36.664206,127.135616
(주)인광아스콘,충청남도 당진시 정미면 상구실로 179 ,36.89101,126.588496
대전환경재생산업(주),충청남도 금산군 추부면 금산로 2278 ,36.167681,127.475646
(유)세종아스콘산업,충청남도 공주시 우성면 질마고개길 26-24 ,36.473394,127.0884
(주)도성이엔에이,충청남도 천안시 동남구 광덕면 차령고개로 645-9,36.662956,127.140838
신성아스콘(주),충청남도 서산시 운산면 장생동로 602-20 ,36.808547,126.60894
금성개발(주),충청남도 예산군 덕산면 홍덕서로 505 ,36.630596,126.612524
부여아스콘(유),충청남도 부여군 초촌면 응신길 280 ,36.285471,126.998465
신동아스콘(주),충청남도 천안시 서북구 성거읍 신월소우길 187,36.871432,127.166583
삼강아스콘(주),충청남도 천안시 서북구 입장면 도림길 70,36.917955,127.242465
(주)제일,충청남도 태안군 근흥면 서해로 1257-13 ,36.765301,126.257971
아산아스콘(주),충청남도 아산시 염치읍 신수리길 40 ,36.840074,126.97024
신양산업개발(주),충청북도 청주시 청원구 오창읍 후기길 50-42,36.733311,127.389537
옥천아스콘(주),충청북도 옥천군 이원면 건진2길 49 ,36.251922,127.619771
