업체명,주소,위도,경도
현대아산(주)개성지사,황해북도 개성시 청담동 현대아산 홍룬산부지 내,,
주식회사 임계레미콘,강원특별자치도 정선군 임계면 햇골길 58(주식회사임계레미콘),37.442267,128.863731
동송산업(주),강원도 철원군 갈말읍 도창로 167,38.248663,127.353303
주식회사 맥산콘크리트,강원특별자치도 양양군 손양면 동해대로 1992,38.040503,128.672602
주식회사 미르레미콘,강원특별자치도 삼척시 원덕읍 삼척로 567(영광레미콘),37.185161,129.326971
(주)고성레미콘,강원도 고성군 간성읍 탑동길 167-2,38.36663,128.4677
(주)동양/건재부문 속초공장,강원도 속초시 원암학사평길 77(노학동),38.207121,128.517698
주식회사 태웅콘크리트,강원도 강릉시 강동면 임곡로 344,37.705655,128.990689
동강레미콘 주식회사,강원도 영월군 북면 성황동길 14,37.276728,128.422606
주식회사 맥산레미콘,강원도 양양군 서면 들돌길 451,38.093162,128.555807
주식회사 정중앙산업,강원도 양구군 동면 금강산로956번길 206,38.169649,128.029603
(유한)용두레미콘산업,강원도 고성군 봉정로 213-16,38.449426,128.42823
보성산업(주),강원도 홍천군 영귀미면 금계로 2423,37.665652,128.036747
성원레미콘아스콘 주식회사,강원도 영월군 한반도면    고촌길 32-17,37.17846,128.330365
(주)대영레미콘,강원도 강릉시 사천면 송암골길 189,37.796865,128.830341
(주)한솔레미콘,강원도 고성군 토성면 용원로 676,38.211037,128.510476
우영레미콘(주),강원도 양양군 강현면 장산5길 52-46,38.140407,128.586275
우정레미콘 주식회사,강원도 강릉시 강동면 동해대로 1907,37.718098,128.976523
명성알엔에이(주),강원도 원주시 소초면 운곡로 310,37.36127,128.007559
(주)원주엔지니어링,강원도 원주시 우두산길 77(우산동),37.37974,127.934426
(주)우일레미콘,강원도 강릉시 사천면 뒷말길 118-71,37.84086,128.854755
주식회사 동명레미콘,강원도 동해시 동해대로 4468-7(추암동),37.469378,129.1524
(주)성창,강원도 삼척시 도경길 69(도경동),37.438992,129.118153
대신산업(주),강원도 동해시 대동로 161-7(송정동),37.486098,129.121069
(주)덕영레미콘,강원도 원주시 귀래면 북원로 491-11,37.204288,127.888821
